English word,French word,Frequency
"Withal,",avec,153
laugh.,rire,243
church:,église,100
itself;,lui-même,240
party?,fête,51
neighbour?,voisine,94
speech?,discours,163
"flies,",mouches,62
empty?,vide,54
first:,première,1175
fruit,fruit,70
table.,table,292
"church,",église,100
"blush,",rougir,89
"while,",tandis que,437
unhappy:,malheureux,39
seven,Sept,94
Jealous,jaloux,96
mouth.,bouche,200
beard,barbe,124
"voice,",voix,213
Welcome;,Bienvenue,380
music;,la musique,261
understand.,comprendre,123
since!,depuis,462
"revenge,",vengeance,189
present.,présent,443
lands.,terres,68
"Night,",nuit,1216
Orlando;,orlando,164
"chaste,",chaste,46
Master,Maître,991
nought.,néant,58
"private,",privé,74
tedious.,fastidieux,51
shepherd?,berger,145
"means,",veux dire,264
shepherd.,berger,145
sweat?,transpiration,53
sooner.,plus tôt,62
Learn,apprendre,225
happiness;,bonheur,59
taste:,goût,98
Winter,hiver,84
slender,mince,113
fruit.,fruit,70
country;,pays,243
judge.,juge,121
remember.,rappelles toi,200
"chain,",chaîne,81
encounter.,rencontre,61
possible?,possible,98
complexion!,complexion,47
disposition?,disposition,51
making?,fabrication,85
beard?,barbe,124
instant.,instant,85
Orlando?,orlando,164
first;,première,1175
apparel?,vêtements,48
Proceed.,procéder,134
knight.,Chevalier,189
burden;,fardeau,62
"Sweet,",sucré,925
misery.,misère,39
virtue.,vertu,244
brook;,ruisseau,93
figure.,figure,66
tarry,goudronneux,50
forest.,forêt,98
proper?,correct,100
withal?,avec,153
"study,",étude,68
youth?,jeunesse,318
sister;,sœur,238
"forsooth,",en vérité,48
"warrant,",mandat,195
madness;,la démence,68
manner.,manière,175
"grieve,",pleurer,71
"anything,",n'importe quoi,105
colour;,Couleur,168
house!,maison,662
thing?,chose,1713
truly;,vraiment,172
honest?,honnête,406
meeting.,réunion,56
though?,bien que,1395
Courage!,courage,89
Right!,droite,878
alone?,seul,237
Oliver.,oliver,58
lawful.,légitime,77
"Proceed,",procéder,134
proceed;,procéder,134
church,église,100
another;,un autre,455
hereafter,"ci-après, par la suite",49
"Oliver,",oliver,58
desire;,le désir,310
colour:,Couleur,168
"besides,",outre,109
Mistress,maîtresse,461
PHEBE,phebe,48
Phebe.,phebe,48
Falls,des chutes,82
drops?,gouttes,58
PHEBE.,phebe,48
murder,meurtre,215
keeps;,garde,76
"knees,",les genoux,51
sister?,sœur,238
"Shepherd,",berger,145
proud;,fier,249
endure;,supporter,81
"smile,",sourire,125
pretty;,jolie,117
complexion;,complexion,47
straight;,tout droit,161
short.,court,172
these;,celles-ci,1394
Orlando!,orlando,164
"trick,",tour,94
"humour,",humour,124
consent.,consentement,112
spoke.,parlait,219
denied?,refusé,55
mistress?,maîtresse,461
disposition;,disposition,51
"priest,",prêtre,92
commission;,commission,52
priest;,prêtre,92
"maids,",servantes,48
wives.,épouses,65
merry;,joyeux,170
doors,des portes,62
hours!,heures,141
prove;,prouver,371
hollow,creux,54
"bottom,",bas,110
scorn.,mépris,146
Phebe,phebe,48
device.,dispositif,49
letter:,lettre,384
vengeance,vengeance,53
Meaning,sens,64
beast.,la bête,130
bottom.,bas,110
within.,dans,494
Orlando,orlando,164
"suddenly,",tout à coup,50
Seeing,voyant,56
"watch,",regarder,266
Orlando:,orlando,164
Twice,deux fois,72
"kindness,",la gentillesse,79
Tears,larmes,294
"Brief,",bref,114
Cousin,cousin,287
counterfeit;,contrefaire,69
"Counterfeit,",contrefaire,69
something;,quelque chose,183
saying.,en disant,63
claim,prétendre,187
clown.,pitre,355
friend?,ami,1017
saying:,en disant,63
learned?,appris,56
steel;,acier,78
policy;,politique,45
depart.,partir,98
attend.,assister,416
grant?,subvention,152
Wounded,blessés,42
reason;,raison,498
sought,recherché,40
marriage.,mariage,122
shepherd;,berger,145
"trial,",procès,65
obedience;,obéissance,60
satisfied,satisfait,54
spring,printemps,91
spring.,printemps,91
willing?,prêt,94
daughter.,fille,494
flood,inonder,59
"toward,",vers,177
measure;,mesure,110
enemy;,ennemi,167
according,selon,55
According,selon,55
Modest.,modeste,100
Valiant.,vaillant,162
parted.,séparé,56
Modest;,modeste,100
"third,",troisième,247
"fourth,",Quatrième,51
Valiant;,vaillant,162
quarrel;,querelle,129
"themselves,",se,159
MUSIC,la musique,261
degree.,diplôme,65
power;,Puissance,382
"conduct,",conduite,53
"Where,",où,1873
"large,",grand,104
"after,",après,543
"number,",nombre,103
merit;,mérite,79
proceed.,procéder,134
prologue.,prologue,43
beggar;,mendiant,125
"offer,",offre,178
merchant,marchande,78
Syracuse,Syracuse,238
SYRACUSE,Syracuse,238
"MERCHANT,",marchande,78
Merchant,marchande,78
"Syracuse,",Syracuse,238
looks.,regards,216
"Again,",encore,1364
comfort:,confort,254
"burden,",fardeau,62
"Those,",ceux,547
"bought,",acheté,51
death;,décès,931
Weeping,larmes,62
"forward,",vers l'avant,103
"SYRACUSE,",Syracuse,238
MERCHANT,marchande,78
MERCHANT.,marchande,78
SYRACUSE.,Syracuse,238
benefit;,avantage,47
Farewell,adieu,355
"unhappy,",malheureux,39
money?,argent,194
dinner.,dîner,98
"return,",revenir,281
season;,saison,69
hands!,mains,342
device,dispositif,49
money.,argent,194
slave.,esclave,176
Perhaps,peut-être,45
liberty;,liberté,73
"souls,",âmes,114
where?,où,1873
forbear.,ancêtre,65
meaning?,sens,64
blows;,coups,73
dinner,dîner,98
Quoth,quoth,66
Fetch,chercher,129
cheek?,joue,243
Barren,Dénudé,43
fault;,faute,280
repair.,réparation,52
chain;,chaîne,81
beauty;,beauté,233
dinner!,dîner,98
"Villain,",scélérat,362
teeth?,les dents,56
hours.,heures,141
beaten?,battu,50
Father,père,1157
yonder?,là-bas,74
frown.,froncer les sourcils,88
Plead,plaider,63
Denied,refusé,55
"names,",des noms,50
contempt.,mépris,55
speaks;,parle,129
dream?,rêver,211
porter,porter,52
Known,connu,233
"enter,",entrer,2519
common;,commun,247
porter?,porter,52
street.,rue,133
"Right,",droite,878
blame.,faire des reproches,94
laugh!,rire,243
staff?,Personnel,532
another:,un autre,455
struck!,frappé,84
welcome;,Bienvenue,380
either.,Soit,358
master;,Maître,991
within;,dans,494
unknown;,inconnue,44
depart,partir,98
"quiet,",silencieux,110
"discourse,",discours,67
Pretty,jolie,117
office?,Bureau,351
"Shall,",doit,3865
kindness;,la gentillesse,79
Apparel,vêtements,48
"presence,",présence,107
Teach,enseigner,137
saint;,Saint,149
acquainted?,connaissance,43
Shame,la honte,366
divine.,Divin,59
"feeble,",faible,43
field?,champ,242
yield.,rendement,202
claim.,prétendre,187
myself?,moi même,567
beast:,la bête,130
"beast,",la bête,130
winter.,hiver,84
breath.,souffle,360
"steel,",acier,78
chain.,chaîne,81
"twice,",deux fois,72
pound,livre,112
money;,argent,194
chain!,chaîne,81
breath!,souffle,360
chain?,chaîne,81
Consider,considérer,89
credit.,crédit,73
reputation.,réputation,47
Consent,consentement,112
Blows,coups,73
slave!,esclave,176
spite.,dépit,132
"swore,",juré,60
"blunt,",cru,80
"making,",fabrication,85
curse.,malédiction,182
"fairy,",Fée,58
rough;,rugueux,634
lands;,terres,68
"Judgment,",jugement,117
reason!,raison,498
tailor,tailleur,58
prison;,prison,260
"angel,",ange,345
avoid!,éviter,52
wench;,jeune fille,85
light;,lumière,611
Avoid,éviter,52
fiend!,démon,82
witch!,sorcière,139
sleep;,sommeil,438
along;,le long de,112
yonder.,là-bas,74
looks!,regards,216
house?,maison,662
Heart,cœur,1350
damned,damné,45
company!,entreprise,215
"Doctor,",docteur,120
nothing?,rien,640
large.,grand,104
"drawn,",tiré,92
naked,nu,56
"sorry,",Pardon,92
"infinite,",infini,43
Second,seconde,585
trouble;,difficulté,133
"charge,",charge,493
wretch!,misérable,153
villain.,scélérat,362
Buried,enterré,59
private.,privé,74
"Alone,",seul,237
madness?,la démence,68
"rough,",rugueux,634
Neither;,ni,186
"nurse,",infirmière,218
order;,ordre,145
depart;,partir,98
"execution,",exécution,69
Behind,derrière,120
"Justice,",Justice,265
bearing,palier,76
could.,pourrait,654
yourself!,toi même,280
"loose,",ample,60
Beaten,battu,50
"doctor,",docteur,120
husband!,mari,373
Witness,témoin,142
justice!,Justice,265
Discover,découvrir,78
"Myself,",moi même,567
withal!,avec,153
truth!,vérité,349
woman!,femme,512
Along,le long de,112
"Forsooth,",en vérité,48
"whence,",d'où,76
"walls,",des murs,85
Heaven!,paradis,853
Grace.,la grâce,719
"freely,",librement,55
Neither.,ni,186
voice!,voix,213
cares?,se soucie,36
parted;,séparé,56
"perhaps,",peut-être,45
Syracuse.,Syracuse,238
these.,celles-ci,1394
spirit?,esprit,407
fatal,fatal,45
first?,première,1175
which.,lequel,2322
uncle.,oncle,256
cheer.,acclamation,131
Embrace,embrasse,84
elder.,aîné,50
question;,question,177
"MARCIUS,",Marcius,143
MARCIUS,Marcius,143
COMINIUS,cominius,104
Tribunes,tribunes,67
People,gens,232
YOUNG,Jeune,528
"LIEUTENANT,",lieutenant,81
CITIZEN,citoyenne,268
weapons,armes,42
CITIZEN.,citoyenne,268
Marcius,Marcius,143
"misery,",misère,39
revenge.,vengeance,189
Marcius?,Marcius,143
country?,pays,243
these?,celles-ci,1394
Capitol!,Capitole,43
enough;,assez,313
Senate;,sénat,42
knees,les genoux,51
Suffer,souffrir,162
deliver.,livrer,200
"devise,",concevoir,57
speaks!,parle,129
friend:,ami,1017
rivers,rivières,59
brain;,cerveau,154
"cares,",se soucie,36
"common,",commun,247
"rascal,",coquin,90
vantage.,avantage,133
Marcius!,Marcius,143
MARCIUS.,Marcius,143
"Senate,",sénat,42
another?,un autre,455
Below,au dessous de,54
enough!,assez,313
"tribunes,",tribunes,67
defend,défendre,85
choice.,choix,72
"MESSENGER,",Messager,334
"COMINIUS,",cominius,104
SENATOR.,sénateur,150
"Marcius,",Marcius,143
COMINIUS.,cominius,104
together?,ensemble,281
"party,",fête,51
"revolt,",révolte,64
Cominius,cominius,104
constant.,constant,72
Marcius;,Marcius,143
Capitol;,Capitole,43
Cominius;,cominius,104
equal.,égal,69
tribunes,tribunes,67
Cominius.,cominius,104
"Opinion,",opinion,97
action.,action,234
Senate,sénat,42
House.,maison,662
"Cominius,",cominius,104
MARCIUS;,Marcius,143
brows,sourcils,49
issue.,problème,129
blood!,du sang,947
"Hector,",Hector,224
ladyship.,Madame,45
ladyship;,Madame,45
doors!,des portes,62
"labour,",la main d'oeuvre,129
senator,sénateur,150
"excuse,",excuse,86
mirth.,gaieté,53
enemy?,ennemi,167
walls?,des murs,85
"gates,",portes,105
Farther,plus loin,43
behind!,derrière,120
"Slain,",tué,127
gates.,portes,105
fellow!,compagnon,445
"shake,",secouer,395
silver.,argent,72
makes!,fait du,360
since?,depuis,462
drums.,tambours,42
thunder,tonnerre,90
Flower,fleur,103
alone;,seul,237
plague!,peste,110
cease,cesser,68
battle?,bataille,146
trust?,confiance,244
willing.,prêt,94
Marcius.,Marcius,143
"outward,",vers l'extérieur,57
March,Mars,169
LIEUTENANT.,lieutenant,81
Worse,pire,178
after!,après,543
Hector,Hector,224
"valiant,",vaillant,162
deeds;,actes,119
modest.,modeste,100
doing.,Faire,86
flourish.,fleurir,146
Deliver,livrer,200
weary;,se lasser,87
condition.,état,89
Condition!,état,89
Condition?,état,89
mercy?,pitié,187
"naked,",nu,56
tonight.,ce soir,49
TRIBUNES.,tribunes,67
proud?,fier,249
single:,Célibataire,64
could!,pourrait,654
"violent,",violent,49
morning.,Matin,134
"utter,",prononcer,121
Meeting,réunion,56
Capitol.,Capitole,43
wounded?,blessés,42
wounded.,blessés,42
"wounded,",blessés,42
victory,la victoire,47
"general,",général,236
"noise,",bruit,117
"Death,",décès,931
"GENERAL,",général,236
laugh;,rire,243
Welcome!,Bienvenue,380
comfort.,confort,254
execution.,exécution,69
Ladies,Dames,148
Capitol,Capitole,43
TRIBUNES,tribunes,67
"PEOPLE,",gens,232
voice;,voix,213
others;,autres,520
"scene,",scène,807
sport;,sport,168
noble;,noble,754
custom;,Douane,72
"custom,",Douane,72
"People,",gens,232
exeunt,sortir,1035
intent!,intention,74
monster,monstre,96
serve;,servir,463
fourth,Quatrième,51
"Content,",contenu,270
right;,droite,878
Plague,peste,110
desert?,désert,65
desire.,le désir,310
enemies;,ennemis,111
deserve.,mériter,135
Custom,Douane,72
through:,par,284
voice.,voix,213
Senate.,sénat,42
House?,maison,662
Repair,réparation,52
along?,le long de,112
people?,gens,232
"merit,",mérite,79
loves;,aime,225
bodies,corps,44
judgment?,jugement,117
"hundred,",cent,120
affections;,affections,40
common?,commun,247
"Tribunes,",tribunes,67
"clouds,",des nuages,59
merit.,mérite,79
"speech,",discours,163
Regard,qui concerne,62
Therein,la bride,56
remain!,rester,127
awake,éveillé,87
fools;,imbéciles,104
courtesy?,courtoisie,66
fears;,peurs,77
"worship,",culte,133
Purpose,objectif,261
obedience,obéissance,60
thing!,chose,1713
"Weapons,",armes,42
"weapons,",armes,42
weapons!,armes,42
Tribunes!,tribunes,67
peace;,paix,556
breath;,souffle,360
patience!,la patience,208
"Yield,",rendement,202
violent.,violent,49
sword!,épée,427
"TRIBUNES,",tribunes,67
yourself;,toi même,280
tribunes.,tribunes,67
return?,revenir,281
world:,monde,925
"vengeance,",vengeance,53
warrant.,mandat,195
"heard,",entendu,364
traitor;,traitre,205
"danger,",danger,224
"Mortal,",mortel,147
Proceed,procéder,134
Unknown,inconnue,44
weapons.,armes,42
heels;,talons,83
sight;,vue,239
False,faux,355
nature?,la nature,412
"Unless,",sauf si,155
"doing,",Faire,86
"policy,",politique,45
request?,demande,85
Action,action,234
"claim,",prétendre,187
"speaks,",parle,129
absence;,absence,55
"serve,",servir,463
spirit.,esprit,407
spirit!,esprit,407
asleep!,endormi,60
"choice,",choix,72
"Mother,",mère,479
Chide,gronder,59
distributed.,distribué,443
execution,exécution,69
"safety,",sécurité,74
present?,présent,443
consider;,considérer,89
"bears,",ours,110
"citizen,",citoyenne,268
traitor?,traitre,205
traitor!,traitre,205
service?,un service,485
banish,bannir,205
"tender,",soumissionner,176
despair!,désespoir,62
blows!,coups,73
despite;,malgré,59
gates;,portes,105
tribunes!,tribunes,67
courage?,courage,89
cunning.,ruse,81
practice.,entraine toi,56
"month,",mois,97
touch;,toucher,315
smile.,sourire,125
"weeping,",larmes,62
shame?,la honte,366
supper,souper,64
"ready,",prêt,294
turns!,se tourne,73
justice:,Justice,265
asleep.,endormi,60
entertainment,divertissement,38
brave?,courageux,223
avoid.,éviter,52
Bears,ours,110
Prepare,préparer,82
mischief;,sottises,50
Mistake,erreur,53
Longer,plus long,112
"weary,",se lasser,87
malice;,malice,72
"commission,",commission,52
clothes,vêtements,41
sworn.,juré,197
neither;,ni,186
excellent.,excellent,125
table;,table,292
discourse.,discours,67
forward?,vers l'avant,103
Peace,paix,556
Reason:,raison,498
Blush,rougir,89
"Ourselves,",nous-mêmes,188
thrive!,prospérer,62
"prison,",prison,260
Possible.,possible,98
House;,maison,662
"fearful,",craintif,99
fearful?,craintif,99
Deserve,mériter,135
"coming,",venir,172
Capitol?,Capitole,43
LIEUTENANT,lieutenant,81
"table,",table,292
account.,Compte,57
Carry,porter,113
chair,chaise,46
memory!,Mémoire,58
regard,qui concerne,62
"request,",demande,85
Speed,la vitesse,287
WATCH,regarder,266
"Stand,",supporter,944
whence?,d'où,76
"throw,",jeter,213
having.,ayant,158
"companion,",un compagnon,55
"hanging,",pendaison,63
"wrath,",colère,73
others.,autres,520
"familiar,",familier,47
force.,Obliger,276
power!,Puissance,382
general;,général,236
affection!,affection,118
worth?,vaut,594
revenge!,vengeance,189
blest!,heureux,84
stars;,étoiles,71
before:,avant,840
Again,encore,1364
enjoy.,prendre plaisir,71
Living,vivant,123
"Daughter,",fille,494
knees.,les genoux,51
"Ladies,",Dames,148
"Friend,",ami,1017
dance.,Danse,113
general?,général,236
charity,charité,55
person;,la personne,453
noise.,bruit,117
glory.,gloire,89
second.,seconde,585
LORDS.,seigneurs,594
"begin,",commencer,188
excuse.,excuse,86
"deliver,",livrer,200
degree,diplôme,65
Traitor!,traitre,205
Counsel,Conseil,176
Stain,tache,116
PEOPLE.,gens,232
Marcus.,Marcus,138
Tread,bande de roulement,57
quiet;,silencieux,110
"CLOTEN,",cailloter,111
POSTHUMUS,posthume,129
names,des noms,50
Posthumus,posthume,129
Forces,les forces,47
CAPTAIN,capitaine,206
"QUEEN,",reine,989
"Soothsayer,",devin,43
garden,jardin,62
birth?,naissance,101
being;,étant,664
virtue;,vertu,244
"POSTHUMUS,",posthume,129
QUEEN.,reine,989
"Posthumus,",posthume,129
POSTHUMUS.,posthume,129
"garden,",jardin,62
courtesy!,courtoisie,66
Always,toujours,63
QUEEN,reine,989
Another?,un autre,455
"Remain,",rester,127
avoid;,éviter,52
wrath;,colère,73
grace?,la grâce,719
obedience?,obéissance,60
despair;,désespoir,62
Posthumus.,posthume,129
"Almost,",presque,161
anger;,colère,365
CLOTEN,cailloter,111
abroad,à l'étranger,64
CLOTEN.,cailloter,111
faith;,Foi,464
"always,",toujours,63
"midnight,",minuit,43
quality.,qualité,58
"hereafter,","ci-après, par la suite",49
kindness.,la gentillesse,79
"public,",Publique,71
"constant,",constant,72
stone.,calcul,235
reputation;,réputation,47
acquainted.,connaissance,43
spoke!,parlait,219
"Yours,",le tiens,609
finger;,doigt,114
match:,rencontre,119
"jewel,",bijou,99
provided,à condition de,259
answer:,répondre,480
flowers;,fleurs,47
LADIES,Dames,148
deadly?,mortel,51
forces,les forces,47
rascal;,coquin,90
"makes,",fait du,360
effect;,effet,116
Except,sauf,60
grief!,douleur,274
glorious.,glorieux,43
friend!,ami,1017
fight;,bats toi,322
"Rather,",plutôt,323
mirth?,gaieté,53
"touch,",toucher,315
"object,",objet,54
Encounter,rencontre,61
"double,",double,130
yield!,rendement,202
nature!,la nature,412
poison!,poison,128
"despite,",malgré,59
purse?,bourse,107
Country,pays,243
Emperor;,empereur,112
Attended,assisté,46
palace;,palais,167
burning;,brûlant,52
touch!,toucher,315
memory?,Mémoire,58
"Swift,",rapide,100
"swift,",rapide,100
palace.,palais,167
courage.,courage,89
remain;,rester,127
thing;,chose,1713
consider.,considérer,89
early.,de bonne heure,109
forth?,en avant,441
Frame,Cadre,55
hands?,mains,342
thief;,voleur,68
ready?,prêt,294
trouble.,difficulté,133
"learn,",apprendre,225
"taught,",enseigné,55
Fools,imbéciles,104
"Obedience,",obéissance,60
Search,chercher,61
grief.,douleur,274
farther;,plus loin,43
silver;,argent,72
Chaste,chaste,46
Motion,mouvement,113
"Being,",étant,664
false!,faux,355
Render,rendre,57
whore,putain,104
Spare,de rechange,68
turns.,se tourne,73
Quite,assez,117
vengeance!,vengeance,53
beaten;,battu,50
command?,commander,291
without?,sans pour autant,368
commanded.,commandé,40
Blest,heureux,84
counsel!,Conseil,176
Lovers,les amoureux,61
wings!,ailes,57
sickness;,maladie,54
through.,par,284
heaven!,paradis,853
"Consider,",considérer,89
known;,connu,233
flies;,mouches,62
speak!,parler,1413
fruit;,fruit,70
favour!,favoriser,203
feast;,le banquet,132
minister;,ministre,62
story;,récit,93
nurse;,infirmière,218
Posthumus?,posthume,129
"dishonour,",déshonorer,70
sword?,épée,427
"slander,",calomnie,92
"Kings,",rois,150
"Maids,",servantes,48
false?,faux,355
awake?,éveillé,87
witness!,témoin,142
obedience.,obéissance,60
faith!,Foi,464
treason,trahison,116
knife?,couteau,56
labour?,la main d'oeuvre,129
"Cloten,",cailloter,111
Posthumus;,posthume,129
point:,point,256
Woman,femme,512
courage;,courage,89
Ready,prêt,294
Forget,oublier,115
heart!,cœur,1350
brief;,bref,114
Present,présent,443
precious.,précieux,79
office;,Bureau,351
Happiness!,bonheur,59
"Grant,",subvention,152
Posthumus!,posthume,129
therefore;,par conséquent,627
sirrah?,sirrah,148
Close,proche,168
throne.,trône,75
chamber;,chambre,220
Labour,la main d'oeuvre,129
trial?,procès,65
"civil,",civil,68
fairy.,Fée,58
angel!,ange,345
"Money,",argent,194
danger!,danger,224
Discourse,discours,67
commission.,commission,52
forces?,les forces,47
"tailor,",tailleur,58
reverence,révérence,44
despite.,malgré,59
purpose!,objectif,261
citizen,citoyenne,268
heard!,entendu,364
report!,rapport,186
field!,champ,242
smile;,sourire,125
"elder,",aîné,50
Hence!,Par conséquent,583
knock.,frappe,143
Yield,rendement,202
dagger,dague,57
clothes?,vêtements,41
birth.,naissance,101
"reverence,",révérence,44
Cloten.,cailloter,111
Cloten,cailloter,111
purse;,bourse,107
"brains,",cerveaux,49
lives?,vies,213
abroad?,à l'étranger,64
perhaps,peut-être,45
"through,",par,284
charity.,charité,55
motion?,mouvement,113
bottom?,bas,110
prince.,prince,1126
Begin.,commencer,188
Golden,d'or,92
stroke.,accident vasculaire cérébral,64
Ghost,fantôme,112
Quiet,silencieux,110
grave!,la tombe,244
dream;,rêver,211
"devil,",diable,293
Struck,frappé,84
Cloten;,cailloter,111
Success,Succès,88
picture?,image,52
Again!,encore,1364
"ignorant,",ignorant,48
unknown.,inconnue,44
little!,peu,484
vengeance.,vengeance,53
stand!,supporter,944
exeunt.,sortir,1035
stand?,supporter,944
fought.,combattu,68
"battle,",bataille,146
"passage,",passage,44
Stand;,supporter,944
wound!,blessure,211
chance:,chance,211
going?,Aller,111
struck.,frappé,84
"monster,",monstre,96
Fight,bats toi,322
"habit,",habitude,86
Stand!,supporter,944
"conscience,",conscience,127
sorry?,Pardon,92
silence.,silence,114
Solemn,solennel,69
music.,la musique,261
MOTHER.,mère,479
BROTHER.,frère,734
maintain.,maintenir,58
"Since,",depuis,462
Offend,offenser,149
cross;,traverser,126
Express,Express,70
thunder;,tonnerre,90
smell;,odeur,69
"Sleep,",sommeil,438
awake.,éveillé,87
"deserve,",mériter,135
ground?,sol,182
Hanging,pendaison,63
drink;,boisson,218
empty;,vide,54
Knock,frappe,143
"modest,",modeste,100
Greet,saluer,93
victory?,la victoire,47
become?,devenir,210
doctor,docteur,120
daughter!,fille,494
"SOOTHSAYER,",devin,43
estate.,biens,58
entreat:,supplier,159
Bitter,amer,96
Highness;,altesse,189
banish;,bannir,205
Loves,aime,225
picture;,image,52
Remember,rappelles toi,200
excellent;,excellent,125
"stuff,",des trucs,70
flesh?,la chair,142
child?,enfant,392
story:,récit,93
wrath?,colère,73
leave!,laisser,748
Mighty,puissant,117
issue?,problème,129
"Itself,",lui-même,240
treason;,trahison,116
knows.,sait,213
treason.,trahison,116
stars.,étoiles,71
"prince,",prince,1126
reign,règne,328
through?,par,284
whither?,où,89
"These,",celles-ci,1394
chance;,chance,211
soothsayer.,devin,43
forward;,vers l'avant,103
PRINCE,prince,1126
"former,",ancien,74
Priest.,prêtre,92
Father.,père,1157
Scene,scène,807
Castle.,Château,116
there.?,Là,3094
guard?,garde,202
Ghost.,fantôme,112
Question,question,177
march?,Mars,169
stomach,estomac,62
prologue,prologue,43
behold!,voir,199
"avoid,",éviter,52
Awake,éveillé,87
Exeunt.,sortir,1035
Lords,seigneurs,594
subject;,matière,172
common.,commun,247
Visit,visite,97
earth!,Terre,380
remember?,rappelles toi,200
uncle;,oncle,256
tongue!,langue,503
lordship!,seigneurie,128
Season,saison,69
Appears,apparaît,50
watch;,regarder,266
hundred.,cent,120
"Longer,",plus long,112
"Forward,",vers l'avant,103
Youth,jeunesse,318
Occasion,occasion,91
Affection?,affection,118
Tender,soumissionner,176
Keeps,garde,76
custom?,Douane,72
"complexion,",complexion,47
comes!,vient,701
"bones,",des os,76
complete,Achevée,247
souls?,âmes,114
means!,veux dire,264
"flood,",inonder,59
Speak!,parler,1413
ghost!,fantôme,112
murther.,aller plus loin,122
Murther?,aller plus loin,122
Murther,aller plus loin,122
Brief,bref,114
"ghost,",fantôme,112
secret?,secret,114
right!,droite,878
Swear.,jurer,356
heard:,entendu,364
strange!,étrange,365
"never,",jamais,1023
"willing,",prêt,94
something!,quelque chose,183
marry!,marier,377
"advice,",Conseil,43
being.,étant,664
sorry.,Pardon,92
"close,",proche,168
"Might,",pourrait,679
Assure,assurer,71
"Answer,",répondre,480
brief.,bref,114
figure!,figure,66
think?,pense,1368
"Honest,",honnête,406
rogue,coquin,108
grave?,la tombe,244
fools!,imbéciles,104
"Neither,",ni,186
Fortune?,fortune,485
"Prison,",prison,260
prison.,prison,260
ambition;,ambition,49
"bodies,",corps,44
matter!,matière,385
attended.,assisté,46
occasion.,occasion,91
Beggar,mendiant,125
"afterwards,",ensuite,38
brains.,cerveaux,49
"natural,",Naturel,105
"falls,",des chutes,82
"tyrant,",tyran,70
Fortune!,fortune,485
better!,mieux,612
bounty.,prime,42
nothing!,rien,640
coward?,lâche,150
"bitter,",amer,96
"About,",sur,415
brain!,cerveau,154
"murther,",aller plus loin,122
murther,aller plus loin,122
looks;,regards,216
devil;,diable,293
shape;,forme,132
Lords.,seigneurs,594
Devil,diable,293
conscience!,conscience,127
question:,question,177
dream:,rêver,211
lordship?,seigneurie,128
beauty.,beauté,233
proof.,preuve,118
heaven?,paradis,853
madness.,la démence,68
danger;,danger,224
Madness,la démence,68
"tempest,",tempête,52
nature:,la nature,412
"image,",image,74
grieve;,pleurer,71
flatter;,flatter,137
march.,Mars,169
"Excellent,",excellent,125
flowers.,fleurs,47
mischief.,sottises,50
Prologue.,prologue,43
counsel;,Conseil,176
meant?,signifiait,83
"prologue,",prologue,43
Sport,sport,168
"widow,",veuve,142
"Begin,",commencer,188
begin!,commencer,188
seeing;,voyant,56
light!,lumière,611
sleep:,sommeil,438
realm,domaine,60
pound!,livre,112
perceive?,apercevoir,103
music!,la musique,261
doctor;,docteur,120
breed.,race,110
cannot.,ne peux pas,762
answer;,répondre,480
consent!,consentement,112
"dispatch,",envoi,92
Hazard,danger,47
murther!,aller plus loin,122
"intent,",intention,74
offence?,infraction,121
above.,au dessus,147
repent?,se repentir,77
knees;,les genoux,51
passage?,passage,44
asleep;,endormi,60
slain!,tué,127
stuff;,des trucs,70
"picture,",image,52
judgment;,jugement,117
Sense,sens,187
blush?,rougir,89
Proclaim,proclamer,80
kings;,rois,150
figure?,figure,66
forget.,oublier,115
works.,travaux,250
discourse?,discours,67
Forth,en avant,441
brain.,cerveau,154
repent;,se repentir,77
"secret,",secret,114
while.,tandis que,437
Shows,montre,103
loose!,ample,60
"Without,",sans pour autant,368
supper?,souper,64
Truly,vraiment,172
slain?,tué,127
worth!,vaut,594
minds.,esprits,56
Prologue,prologue,43
table!,table,292
Valentine.,Valentin,233
"Charity,",charité,55
slain;,tué,127
"piece,",pièce,143
Messenger.,Messager,334
"Yourself,",toi même,280
broke.,cassé,383
without.,sans pour autant,368
father!,père,1157
bastard;,Connard,234
Conscience,conscience,127
within:,dans,494
brains!,cerveaux,49
"steward,",intendant,50
madness!,la démence,68
Thought,pensée,682
Servant.,serviteur,543
appears.,apparaît,50
strong.,fort,279
Messenger,Messager,334
Claudio;,Claudio,180
"regard,",qui concerne,62
would;,aurait,2456
church!,église,100
queen?,reine,989
"broke,",cassé,383
brook.,ruisseau,93
trick;,tour,94
"holds,",tient,93
Clown.,pitre,355
Other.,autre,2845
water;,eau,207
church.,église,100
quick;,rapide,328
fancy.,fantaisie,68
aside!,de côté,468
"order,",ordre,145
trumpet.,trompette,212
souls.,âmes,114
spring!,printemps,91
sweet!,sucré,925
throat;,gorge,78
quiet.,silencieux,110
"purse,",bourse,107
conscience;,conscience,127
Proper,correct,100
short;,court,172
passion.,la passion,147
complexion.,complexion,47
"though,",bien que,1395
heavy;,lourd,169
"without,",sans pour autant,368
Judgment!,jugement,117
sound;,du son,333
brows.,sourcils,49
conscience.,conscience,127
drink!,boisson,218
Treason!,trahison,116
cause;,cause,549
Fourth.,Quatrième,51
Blunt.,cru,80
Thomas,Thomas,75
"Percy,",Percy,87
Edmund,Edmund,77
